subject,predicate,object,type,source_url,category,subcategory
pyromancies,obtain,per,general,http://darksouls.wikidot.com/chaos-servant,Achievements_Covenant_achievements,Covenant achievements
Bugs,find,in,general,http://darksouls.wikidot.com/chaos-servant,Achievements_Covenant_achievements,Covenant achievements
Eingyi,use,as,general,http://darksouls.wikidot.com/chaos-servant,Achievements_Covenant_achievements,Covenant achievements
covenant,continue,until,general,http://darksouls.wikidot.com/chaos-servant,Achievements_Covenant_achievements,Covenant achievements
Witch,has_item,Ring,item,http://darksouls.wikidot.com/chaos-servant,Achievements_Covenant_achievements,Covenant achievements
Quelaag,member_of,ordered,faction,http://darksouls.wikidot.com/chaos-servant,Achievements_Covenant_achievements,Covenant achievements
+2,rank,at,general,http://darksouls.wikidot.com/chaos-storm,Achievements_Covenant_achievements,Covenant achievements
Lava,patch,on,general,http://darksouls.wikidot.com/chaos-storm,Achievements_Covenant_achievements,Covenant achievements
counter,reduce,itself,general,http://darksouls.wikidot.com/chaos-storm,Achievements_Covenant_achievements,Covenant achievements
copy,obtain,on,general,http://darksouls.wikidot.com/chaos-storm,Achievements_Covenant_achievements,Covenant achievements
spell,scale,with,general,http://darksouls.wikidot.com/chaos-storm,Achievements_Covenant_achievements,Covenant achievements
It,deal,amount,general,http://darksouls.wikidot.com/chaos-storm,Achievements_Covenant_achievements,Covenant achievements
Quelaag,member_of,Covenant,faction,http://darksouls.wikidot.com/chaos-storm,Achievements_Covenant_achievements,Covenant achievements
Miracle,grant,lastborn,general,http://darksouls.wikidot.com/darkmoon-blade,Achievements_Covenant_achievements,Covenant achievements
power,manifest,in,general,http://darksouls.wikidot.com/darkmoon-blade,Achievements_Covenant_achievements,Covenant achievements
Stats,need,0/0/0/0,general,http://darksouls.wikidot.com/darkmoon-blade,Achievements_Covenant_achievements,Covenant achievements
copy,obtain,on,general,http://darksouls.wikidot.com/darkmoon-blade,Achievements_Covenant_achievements,Covenant achievements
damage,scale,with,general,http://darksouls.wikidot.com/darkmoon-blade,Achievements_Covenant_achievements,Covenant achievements
number,use,before,general,http://darksouls.wikidot.com/darkmoon-blade,Achievements_Covenant_achievements,Covenant achievements
spells,reduce,counter,general,http://darksouls.wikidot.com/darkmoon-blade,Achievements_Covenant_achievements,Covenant achievements
duration,cast,buffs,general,http://darksouls.wikidot.com/darkmoon-blade,Achievements_Covenant_achievements,Covenant achievements
Miracles,require,Faith,general,http://darksouls.wikidot.com/darkmoon-blade,Achievements_Covenant_achievements,Covenant achievements
number,see,Trainer,general,http://darksouls.wikidot.com/darkmoon-blade,Achievements_Covenant_achievements,Covenant achievements
swords,pierce,ground,general,http://darksouls.wikidot.com/gravelord-greatsword-dance,Achievements_Covenant_achievements,Covenant achievements
copy,obtain,on,general,http://darksouls.wikidot.com/gravelord-greatsword-dance,Achievements_Covenant_achievements,Covenant achievements
casting,consume,uses,general,http://darksouls.wikidot.com/gravelord-greatsword-dance,Achievements_Covenant_achievements,Covenant achievements
damage,deal,increases,general,http://darksouls.wikidot.com/gravelord-greatsword-dance,Achievements_Covenant_achievements,Covenant achievements
AoE,extend,in,general,http://darksouls.wikidot.com/gravelord-greatsword-dance,Achievements_Covenant_achievements,Covenant achievements
They,serve,master,general,http://darksouls.wikidot.com/gravelord-servant,Achievements_Covenant_achievements,Covenant achievements
This,work,by,general,http://darksouls.wikidot.com/gravelord-servant,Achievements_Covenant_achievements,Covenant achievements
Eye,send,sign,general,http://darksouls.wikidot.com/gravelord-servant,Achievements_Covenant_achievements,Covenant achievements
world,spawn,Phantoms,general,http://darksouls.wikidot.com/gravelord-servant,Achievements_Covenant_achievements,Covenant achievements
players,use,sign,general,http://darksouls.wikidot.com/gravelord-servant,Achievements_Covenant_achievements,Covenant achievements
Join,have,Eye,general,http://darksouls.wikidot.com/gravelord-servant,Achievements_Covenant_achievements,Covenant achievements
Nestle,start,after,general,http://darksouls.wikidot.com/gravelord-servant,Achievements_Covenant_achievements,Covenant achievements
Interact,join,covenant,general,http://darksouls.wikidot.com/gravelord-servant,Achievements_Covenant_achievements,Covenant achievements
Benefits,lure,players,general,http://darksouls.wikidot.com/gravelord-servant,Achievements_Covenant_achievements,Covenant achievements
host,have,advantage,general,http://darksouls.wikidot.com/gravelord-servant,Achievements_Covenant_achievements,Covenant achievements
they,suit,for,general,http://darksouls.wikidot.com/gravelord-servant,Achievements_Covenant_achievements,Covenant achievements
Eye,level,in,general,http://darksouls.wikidot.com/gravelord-servant,Achievements_Covenant_achievements,Covenant achievements
Sword,return,to,general,http://darksouls.wikidot.com/gravelord-servant,Achievements_Covenant_achievements,Covenant achievements
they,receive,Miracle,general,http://darksouls.wikidot.com/gravelord-servant,Achievements_Covenant_achievements,Covenant achievements
they,invade,via,general,http://darksouls.wikidot.com/gravelord-servant,Achievements_Covenant_achievements,Covenant achievements
they,drop,Eye,general,http://darksouls.wikidot.com/gravelord-servant,Achievements_Covenant_achievements,Covenant achievements
worlds,spawn,enemies,general,http://darksouls.wikidot.com/gravelord-servant,Achievements_Covenant_achievements,Covenant achievements
players,get,notification,general,http://darksouls.wikidot.com/gravelord-servant,Achievements_Covenant_achievements,Covenant achievements
phantoms,spawn,for,general,http://darksouls.wikidot.com/gravelord-servant,Achievements_Covenant_achievements,Covenant achievements
You,activate,Eye,general,http://darksouls.wikidot.com/gravelord-servant,Achievements_Covenant_achievements,Covenant achievements
You,fight,bosses,general,http://darksouls.wikidot.com/gravelord-servant,Achievements_Covenant_achievements,Covenant achievements
Disasters,go,after,general,http://darksouls.wikidot.com/gravelord-servant,Achievements_Covenant_achievements,Covenant achievements
Velka,has_item,Talisman,item,http://darksouls.wikidot.com/gravelord-servant,Achievements_Covenant_achievements,Covenant achievements
you,member_of,covenant,faction,http://darksouls.wikidot.com/gravelord-servant,Achievements_Covenant_achievements,Covenant achievements
Nito,sleep,within,general,http://darksouls.wikidot.com/gravelord-sword-dance,Achievements_Covenant_achievements,Covenant achievements
Stats,need,0/2.5/0/0,general,http://darksouls.wikidot.com/gravelord-sword-dance,Achievements_Covenant_achievements,Covenant achievements
frames,have,modifier,general,http://darksouls.wikidot.com/gravelord-sword-dance,Achievements_Covenant_achievements,Covenant achievements
copy,obtain,on,general,http://darksouls.wikidot.com/gravelord-sword-dance,Achievements_Covenant_achievements,Covenant achievements
It,require,faith,general,http://darksouls.wikidot.com/gravelord-sword-dance,Achievements_Covenant_achievements,Covenant achievements
one,summon,20,general,http://darksouls.wikidot.com/gravelord-sword-dance,Achievements_Covenant_achievements,Covenant achievements
AoE,extend,in,general,http://darksouls.wikidot.com/gravelord-sword-dance,Achievements_Covenant_achievements,Covenant achievements
number,use,before,general,http://darksouls.wikidot.com/gravelord-sword-dance,Achievements_Covenant_achievements,Covenant achievements
spells,reduce,counter,general,http://darksouls.wikidot.com/gravelord-sword-dance,Achievements_Covenant_achievements,Covenant achievements
duration,cast,buffs,general,http://darksouls.wikidot.com/gravelord-sword-dance,Achievements_Covenant_achievements,Covenant achievements
Miracles,require,Faith,general,http://darksouls.wikidot.com/gravelord-sword-dance,Achievements_Covenant_achievements,Covenant achievements
number,see,Trainer,general,http://darksouls.wikidot.com/gravelord-sword-dance,Achievements_Covenant_achievements,Covenant achievements
Velka,has_item,Talisman,item,http://darksouls.wikidot.com/gravelord-sword-dance,Achievements_Covenant_achievements,Covenant achievements
Flames,melt,stone,general,http://darksouls.wikidot.com/great-chaos-fireball,Achievements_Covenant_achievements,Covenant achievements
Stats,need,frames,general,http://darksouls.wikidot.com/great-chaos-fireball,Achievements_Covenant_achievements,Covenant achievements
patches,have,modifier,general,http://darksouls.wikidot.com/great-chaos-fireball,Achievements_Covenant_achievements,Covenant achievements
copy,obtain,on,general,http://darksouls.wikidot.com/great-chaos-fireball,Achievements_Covenant_achievements,Covenant achievements
number,use,before,general,http://darksouls.wikidot.com/great-chaos-fireball,Achievements_Covenant_achievements,Covenant achievements
spells,reduce,counter,general,http://darksouls.wikidot.com/great-chaos-fireball,Achievements_Covenant_achievements,Covenant achievements
duration,cast,buffs,general,http://darksouls.wikidot.com/great-chaos-fireball,Achievements_Covenant_achievements,Covenant achievements
Miracles,require,Faith,general,http://darksouls.wikidot.com/great-chaos-fireball,Achievements_Covenant_achievements,Covenant achievements
number,see,Trainer,general,http://darksouls.wikidot.com/great-chaos-fireball,Achievements_Covenant_achievements,Covenant achievements
Miracle,pass,by,general,http://darksouls.wikidot.com/great-lightning-spear,Achievements_Covenant_achievements,Covenant achievements
number,use,before,general,http://darksouls.wikidot.com/great-lightning-spear,Achievements_Covenant_achievements,Covenant achievements
spells,reduce,counter,general,http://darksouls.wikidot.com/great-lightning-spear,Achievements_Covenant_achievements,Covenant achievements
duration,cast,buffs,general,http://darksouls.wikidot.com/great-lightning-spear,Achievements_Covenant_achievements,Covenant achievements
Miracles,require,Faith,general,http://darksouls.wikidot.com/great-lightning-spear,Achievements_Covenant_achievements,Covenant achievements
number,see,Trainer,general,http://darksouls.wikidot.com/great-lightning-spear,Achievements_Covenant_achievements,Covenant achievements
Miracle,pass,to,general,http://darksouls.wikidot.com/lightning-spear-miracle,Achievements_Covenant_achievements,Covenant achievements
spears,inflict,damage,general,http://darksouls.wikidot.com/lightning-spear-miracle,Achievements_Covenant_achievements,Covenant achievements
copy,obtain,on,general,http://darksouls.wikidot.com/lightning-spear-miracle,Achievements_Covenant_achievements,Covenant achievements
number,use,before,general,http://darksouls.wikidot.com/lightning-spear-miracle,Achievements_Covenant_achievements,Covenant achievements
spells,reduce,counter,general,http://darksouls.wikidot.com/lightning-spear-miracle,Achievements_Covenant_achievements,Covenant achievements
duration,cast,buffs,general,http://darksouls.wikidot.com/lightning-spear-miracle,Achievements_Covenant_achievements,Covenant achievements
Miracles,require,Faith,general,http://darksouls.wikidot.com/lightning-spear-miracle,Achievements_Covenant_achievements,Covenant achievements
number,see,Trainer,general,http://darksouls.wikidot.com/lightning-spear-miracle,Achievements_Covenant_achievements,Covenant achievements
Gwyn,wield,rays,general,http://darksouls.wikidot.com/sunlight-spear,Achievements_Covenant_achievements,Covenant achievements
Stats,need,0/0/0/3.7,general,http://darksouls.wikidot.com/sunlight-spear,Achievements_Covenant_achievements,Covenant achievements
copy,obtain,on,general,http://darksouls.wikidot.com/sunlight-spear,Achievements_Covenant_achievements,Covenant achievements
they,have,Soul,general,http://darksouls.wikidot.com/sunlight-spear,Achievements_Covenant_achievements,Covenant achievements
number,use,before,general,http://darksouls.wikidot.com/sunlight-spear,Achievements_Covenant_achievements,Covenant achievements
spells,reduce,counter,general,http://darksouls.wikidot.com/sunlight-spear,Achievements_Covenant_achievements,Covenant achievements
duration,cast,buffs,general,http://darksouls.wikidot.com/sunlight-spear,Achievements_Covenant_achievements,Covenant achievements
Miracles,require,Faith,general,http://darksouls.wikidot.com/sunlight-spear,Achievements_Covenant_achievements,Covenant achievements
number,see,Trainer,general,http://darksouls.wikidot.com/sunlight-spear,Achievements_Covenant_achievements,Covenant achievements
They,harness,power,general,http://darksouls.wikidot.com/warrior-of-sunlight,Achievements_Covenant_achievements,Covenant achievements
matchmaking,facilitate,rate,general,http://darksouls.wikidot.com/warrior-of-sunlight,Achievements_Covenant_achievements,Covenant achievements
Requirements,require,for,general,http://darksouls.wikidot.com/warrior-of-sunlight,Achievements_Covenant_achievements,Covenant achievements
requirement,lower,by,general,http://darksouls.wikidot.com/warrior-of-sunlight,Achievements_Covenant_achievements,Covenant achievements
Members,have,priority,general,http://darksouls.wikidot.com/warrior-of-sunlight,Achievements_Covenant_achievements,Covenant achievements
This,reduce,risk,general,http://darksouls.wikidot.com/warrior-of-sunlight,Achievements_Covenant_achievements,Covenant achievements
Spear,use,after,general,http://darksouls.wikidot.com/warrior-of-sunlight,Achievements_Covenant_achievements,Covenant achievements
boss,has_item,soul,item,http://darksouls.wikidot.com/warrior-of-sunlight,Achievements_Covenant_achievements,Covenant achievements
he,brave,Fortress,general,http://darksouls.wikidot.com/crestfallen-merchant,NPCs_Crestfallen_Merchant,Crestfallen Merchant
he,sell,gears,general,http://darksouls.wikidot.com/crestfallen-merchant,NPCs_Crestfallen_Merchant,Crestfallen Merchant
Treasure,boost,speed,general,http://darksouls.wikidot.com/crestfallen-merchant,NPCs_Crestfallen_Merchant,Crestfallen Merchant
NPC,have,lines,general,http://darksouls.wikidot.com/crestfallen-merchant,NPCs_Crestfallen_Merchant,Crestfallen Merchant
I,take,on,general,http://darksouls.wikidot.com/crestfallen-merchant,NPCs_Crestfallen_Merchant,Crestfallen Merchant
you,handle,it,general,http://darksouls.wikidot.com/crestfallen-merchant,NPCs_Crestfallen_Merchant,Crestfallen Merchant
I,remember,feeling,general,http://darksouls.wikidot.com/crestfallen-merchant,NPCs_Crestfallen_Merchant,Crestfallen Merchant
You,stand,chance,general,http://darksouls.wikidot.com/crestfallen-merchant,NPCs_Crestfallen_Merchant,Crestfallen Merchant
I,get,things,general,http://darksouls.wikidot.com/crestfallen-merchant,NPCs_Crestfallen_Merchant,Crestfallen Merchant
nothing,come,of,general,http://darksouls.wikidot.com/crestfallen-merchant,NPCs_Crestfallen_Merchant,Crestfallen Merchant
you,see,fate,general,http://darksouls.wikidot.com/crestfallen-merchant,NPCs_Crestfallen_Merchant,Crestfallen Merchant
I,have,head,general,http://darksouls.wikidot.com/crestfallen-merchant,NPCs_Crestfallen_Merchant,Crestfallen Merchant
Description,cast,into,general,http://darksouls.wikidot.com/darkmoon-soldiers,Enemies_Darkmoon_Soldiers,Darkmoon Soldiers
This,anger,Gwyndolin,general,http://darksouls.wikidot.com/darkmoon-soldiers,Enemies_Darkmoon_Soldiers,Darkmoon Soldiers
Two,appear,in,general,http://darksouls.wikidot.com/darkmoon-soldiers,Enemies_Darkmoon_Soldiers,Darkmoon Soldiers
Soldiers,find,nearest,general,http://darksouls.wikidot.com/darkmoon-soldiers,Enemies_Darkmoon_Soldiers,Darkmoon Soldiers
Drop,have,animation,general,http://darksouls.wikidot.com/buckler,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Divine,add,damage,general,http://darksouls.wikidot.com/buckler,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Buckler,+4,-/-/-/-,general,http://darksouls.wikidot.com/buckler,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
shields,deal,damage,general,http://darksouls.wikidot.com/buckler,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
shields,deal,damage,general,http://darksouls.wikidot.com/buckler,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
It,dictate,damage,general,http://darksouls.wikidot.com/buckler,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
character,suffer,penalty,general,http://darksouls.wikidot.com/buckler,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
shield,inherit,properties,general,http://darksouls.wikidot.com/caduceus-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Stats,need,%,general,http://darksouls.wikidot.com/caduceus-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Magic,add,damage,general,http://darksouls.wikidot.com/caduceus-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Divine,add,damage,general,http://darksouls.wikidot.com/caduceus-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Shield,E/-/D/-,Shield,general,http://darksouls.wikidot.com/caduceus-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
shields,deal,damage,general,http://darksouls.wikidot.com/caduceus-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
shields,deal,damage,general,http://darksouls.wikidot.com/caduceus-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
It,dictate,damage,general,http://darksouls.wikidot.com/caduceus-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
character,suffer,penalty,general,http://darksouls.wikidot.com/caduceus-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Availability,wield,shield,general,http://darksouls.wikidot.com/cracked-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Information,deflect,attacks,general,http://darksouls.wikidot.com/cracked-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Magic,add,damage,general,http://darksouls.wikidot.com/cracked-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Divine,add,damage,general,http://darksouls.wikidot.com/cracked-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
shields,deal,damage,general,http://darksouls.wikidot.com/cracked-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
shields,deal,damage,general,http://darksouls.wikidot.com/cracked-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
It,dictate,damage,general,http://darksouls.wikidot.com/cracked-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
character,suffer,penalty,general,http://darksouls.wikidot.com/cracked-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Treasure,have,slope,general,http://darksouls.wikidot.com/effigy-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Information,design,for,general,http://darksouls.wikidot.com/effigy-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
names,appear,in,general,http://darksouls.wikidot.com/effigy-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Stats,need,%,general,http://darksouls.wikidot.com/effigy-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Effigy,add,damage,general,http://darksouls.wikidot.com/effigy-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
character,wield,Club,general,http://darksouls.wikidot.com/effigy-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
stat,dictate,percentage,general,http://darksouls.wikidot.com/effigy-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Lightning,add,damage,general,http://darksouls.wikidot.com/leather-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Magic,add,damage,general,http://darksouls.wikidot.com/leather-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Shield,E/-/D/-,Shield,general,http://darksouls.wikidot.com/leather-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Divine,add,damage,general,http://darksouls.wikidot.com/leather-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
shields,deal,damage,general,http://darksouls.wikidot.com/leather-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
shields,deal,damage,general,http://darksouls.wikidot.com/leather-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
It,dictate,damage,general,http://darksouls.wikidot.com/leather-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
character,suffer,penalty,general,http://darksouls.wikidot.com/leather-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Stability,increase,with,general,http://darksouls.wikidot.com/plank-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Magic,add,damage,general,http://darksouls.wikidot.com/plank-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Stability,increase,with,general,http://darksouls.wikidot.com/plank-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
+8,add,damage,general,http://darksouls.wikidot.com/plank-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Stability,increase,with,general,http://darksouls.wikidot.com/plank-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Stability,increase,with,general,http://darksouls.wikidot.com/plank-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
character,wield,Club,general,http://darksouls.wikidot.com/plank-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
stat,dictate,percentage,general,http://darksouls.wikidot.com/plank-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
shield,feature,design,general,http://darksouls.wikidot.com/red-and-white-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
shield,inherit,properties,general,http://darksouls.wikidot.com/red-and-white-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Drop,leave,Guard,general,http://darksouls.wikidot.com/red-and-white-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Red,E/-/D/-,40,general,http://darksouls.wikidot.com/red-and-white-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Divine,add,damage,general,http://darksouls.wikidot.com/red-and-white-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
shields,deal,damage,general,http://darksouls.wikidot.com/red-and-white-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
shields,deal,damage,general,http://darksouls.wikidot.com/red-and-white-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
It,dictate,damage,general,http://darksouls.wikidot.com/red-and-white-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
character,suffer,penalty,general,http://darksouls.wikidot.com/red-and-white-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
shield,reinforce,in,general,http://darksouls.wikidot.com/small-leather-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Divine,add,damage,general,http://darksouls.wikidot.com/small-leather-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
shields,deal,damage,general,http://darksouls.wikidot.com/small-leather-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
shields,deal,damage,general,http://darksouls.wikidot.com/small-leather-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
It,dictate,damage,general,http://darksouls.wikidot.com/small-leather-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
character,suffer,penalty,general,http://darksouls.wikidot.com/small-leather-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Availability,have,animation,general,http://darksouls.wikidot.com/target-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Magic,add,damage,general,http://darksouls.wikidot.com/target-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Divine,add,damage,general,http://darksouls.wikidot.com/target-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
shields,deal,damage,general,http://darksouls.wikidot.com/target-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
shields,deal,damage,general,http://darksouls.wikidot.com/target-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
It,dictate,damage,general,http://darksouls.wikidot.com/target-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
character,suffer,penalty,general,http://darksouls.wikidot.com/target-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
shield,inherit,properties,general,http://darksouls.wikidot.com/warrior-s-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Availability,provide,reduction,general,http://darksouls.wikidot.com/warrior-s-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Stats,need,D/-/-/-,general,http://darksouls.wikidot.com/warrior-s-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Magic,add,damage,general,http://darksouls.wikidot.com/warrior-s-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Divine,add,damage,general,http://darksouls.wikidot.com/warrior-s-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
shields,deal,damage,general,http://darksouls.wikidot.com/warrior-s-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
shields,deal,damage,general,http://darksouls.wikidot.com/warrior-s-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
It,dictate,damage,general,http://darksouls.wikidot.com/warrior-s-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
character,suffer,penalty,general,http://darksouls.wikidot.com/warrior-s-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Warrior,has_item,Shield,item,http://darksouls.wikidot.com/warrior-s-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
Warrior,has_item,Shield,item,http://darksouls.wikidot.com/warrior-s-round-shield,Shields_Small_Shields_(able_to_parry),Small Shields (able to parry)
